%IncMSE,IncNodePurity,varnames,midpoints
21.27616841375108,54724.1938062745,"-Inf to
-10.4",-Inf
2.6146688129331697,1167.7446050540646,"-5.7 to
-5.4",-5.55
7.71948299189917,1389.1136948887693,"-5.4 to
-5.1",-5.25
3.6403073459633983,3171.685205201669,"-5.1 to
-4.9",-5
3.6077911996006855,1790.5793597868044,"-4.9 to
-4.7",-4.8
-0.00985143077744061,2208.196315777994,"-4.7 to
-4.5",-4.6
2.0119087967181555,3087.4693904845954,"-4.5 to
-4.3",-4.4
3.1661618473772544,9685.602496953865,"-4.3 to
-4.1",-4.2
5.849394278360981,7793.248178183731,"-4.1 to
-3.9",-4
4.387827024710916,18959.26821387097,"-3.9 to
-3.7",-3.8
3.044680495677929,10987.451700190304,"-3.7 to
-3.5",-3.6
11.394564615448846,10005.426201018505,"-10.4 to
-9",-9.7
2.3846660811753173,4330.757608314835,"-3.5 to
-3.3",-3.4
4.999770782730664,22399.413210178478,"-3.3 to
-3.1",-3.2
3.9774018543011667,13267.050405019658,"-3.1 to
-2.9",-3
3.3856052049792336,7749.058390608879,"-2.9 to
-2.7",-2.8
2.8668554876402066,7505.652909213295,"-2.7 to
-2.5",-2.6
4.236320509897588,14269.783017597152,"-2.5 to
-2.3",-2.4
1.531473418121801,1755.8964666858765,"-2.3 to
-2.2",-2.25
1.5364643470251,1385.851092151553,"-2.2 to
-2.1",-2.15
2.1894227276821243,3318.398465986598,"-2.1 to
-2",-2.05
2.242745445706656,2314.7048944011276,"-2 to
-1.9",-1.95
4.988433716544622,4376.038264890863,"-9 to
-8.2",-8.6
4.266384733101925,2392.809159756326,"-1.9 to
-1.8",-1.85
2.9225914111623,2512.223162240253,"-1.8 to
-1.7",-1.75
1.1082396965985186,1794.1182698329137,"-1.7 to
-1.6",-1.65
2.23206387874118,5472.880672392182,"-1.6 to
-1.5",-1.55
0.21556108265747637,726.0441757924331,"-1.5 to
-1.4",-1.45
1.231986744847301,482.19066921973047,"-1.4 to
-1.3",-1.35
3.271781881567984,1678.8076404154792,"-1.3 to
-1.2",-1.25
3.425470948814834,1237.6475826046649,"-1.2 to
-1.1",-1.15
2.426260690614825,1053.5800735548585,"-1.1 to
-1",-1.05
3.5039278801389737,1215.74679876762,"-1 to
-0.9",-0.95
5.671857183216268,3352.964284102904,"-8.2 to
-7.6",-7.9
1.4953771948922678,974.143116281383,"-0.9 to
-0.8",-0.85
2.425938267693089,903.7541074065985,"-0.8 to
-0.7",-0.75
1.725730822939032,1082.0252258702944,"-0.7 to
-0.6",-0.65
2.0300733501824633,881.8199007950892,"-0.6 to
-0.5",-0.55
2.8189656267547027,889.29151181434,"-0.5 to
-0.4",-0.45
-0.6748598776210988,642.2863746177038,"-0.4 to
-0.3",-0.35
3.094614171762651,661.9272057067575,"-0.3 to
-0.2",-0.25
1.0804954835071612,821.1160424701254,"-0.2 to
-0.1",-0.15
-0.3488634925993081,523.2425756137012,"-0.1 to
0",-0.05
4.056569833685595,1673.439963084129,"-7.6 to
-7.1",-7.35
2.7927198377360023,1089.6123816343818,"-7.1 to
-6.7",-6.9
2.065984753198563,1356.04442184084,"-6.7 to
-6.3",-6.5
5.289730682728604,2467.563639342704,"-6.3 to
-6",-6.15
3.3768788084462686,2458.01305371635,"-6 to
-5.7",-5.85
13.844668195313412,67776.76790366946,Inf,2
0.929502338359563,1553.396059099181,VSA,VSA
4.732991465418661,4624.339637123284,GSA,GSA
3.8442783385051067,1102.3264207553643,PLD,PLD
1.669728328981862,2050.4470276704724,LCD,LCD
